university,faculty,program_name,program_type,cost
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"25,500"
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,"25,500"
มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,"24,800 "
มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,"19,500"
มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering and Informatics),ภาษาไทย ปกติ,"29,100"
มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,"15,000 "
มหาวิทยาลัยขอนแก่น,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,"20,000"
มหาวิทยาลัยเชียงใหม่,วิศวกรรมคอมพิวเตอร์,-,ภาษาไทย ปกติ,"23,000"
มหาวิทยาลัยเชียงใหม่,วิศวกรรมคอมพิวเตอร์,-,นานาชาติ,"50,000"
มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"18,900"
มหาวิทยาลัยมหิดล,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"30,000"
มหาวิทยาลัยศรีนครินทรวิโรฒ,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"25,000"
มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"18,000"
มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Artificial Intelligence Engineering,ภาษาไทย ปกติ,"28,000"
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering (International Program) 4-year undergraduate program ( international ),นานาชาติ,"70,000"
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering 4-year undergraduate program,ภาษาไทย ปกติ,"30,000"
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"25,000"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,"25,000"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering (International Program),นานาชาติ,"90,000"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering and Cyber Security,ภาษาไทย ปกติ,"50,000"
มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมคอมพิวเตอร์,Engineering,ภาษาไทย ปกติ,"15,000"
มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,"24,638"
มหาวิทยาลัยนเรศวร,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,"16,000"
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,"32,700"
